"Mega Menu","Mega Menu"
"General","General"
"Enable",Enable"
"Disable","Disable"
"Levels","Levels"
"Action","Action"
"Show home button","Show home button"
"Button home title","Button home title"
"Show image","Show image"
"Add box to align center?","Add box to align center?"
"Width of Box","Width of Box"
"Width of Items","Width of Items"
"Display","Display"
"Reverse side opening level","Reverse side opening level"

"amount of sublevels that appears","amount of sublevels that appears"
"activate when you click or hover","activate when you click or hover"
"allow viewing of featured picture on sublevel","allow viewing of featured picture on sublevel"
"add box with class "center" for config in css.","add box with class "center" for config in css."
"in px or 0 for editing in css","in px or 0 for editing in css"
"from the number indicated an 'open-left' class will be added, making the sublevel open to left","from the number indicated an 'open-left' class will be added, making the sublevel open to left"

"MegaMenu Settings - NEX","MegaMenu Settings - NEX"
"MegaMenu (nex)","MegaMenu (nex)"
"Manage Items","Manage Items"

"Items Manager","Items Manager"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Item was successfully deleted","Item was successfully deleted"
"Add Item","Add Item"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Edit Item '%s'","Edit Item '%s'"
"Item Information","Item Information"

"ID","ID"
"Image","Image"
"Category","Category"
"Title","Title"
"Product ID","Product ID"
"Block ID","Block ID"
"URL","URL"
"Store","Store"
"Start Time","Start Time"
"Start date","Start date"
"End Time","End Time"
"End date","End date"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Target","Target"
"Select Store","Select Store"
"Blank","Blank"
"New","New"
"Image File","Image File"

"none","none"
"one level","one level"
"two levels","two levels"
"three levels","three levels"
"on hover","on hover"
"on click","on click"
"inline block","inline block"
"block","block"
